domain,niche_match,source,wayback_snapshots,ahrefs,wayback,buy,floor,notes
blueprintarchive.com,clean-seed,seed,50,https://ahrefs.com/backlink-checker?input=blueprintarchive.com,https://web.archive.org/web/*/blueprintarchive.com,https://porkbun.com/checkout/search?q=blueprintarchive.com,$500,REAL SITE
cnc-tool-library.com,clean-seed,seed,50,https://ahrefs.com/backlink-checker?input=cnc-tool-library.com,https://web.archive.org/web/*/cnc-tool-library.com,https://porkbun.com/checkout/search?q=cnc-tool-library.com,$500,REAL SITE
vstvault.com,clean-seed,seed,50,https://ahrefs.com/backlink-checker?input=vstvault.com,https://web.archive.org/web/*/vstvault.com,https://porkbun.com/checkout/search?q=vstvault.com,$500,REAL SITE
